component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
131,353.33804174058986,353.33804174058986,0.00014643461570920012,0.9736748055013174,8.53271028037383,subseasonal,JP-13,cases
132,353.06803514354607,353.06803514354607,0.00014621090243284164,0.9738210164037502,4.0972326103216155,high_frequency,JP-13,cases
133,352.9042712995337,352.9042712995337,0.00014607529963655584,0.9739670917033867,4.0972326103216155,high_frequency,JP-13,cases
134,352.5976044691556,352.5976044691556,0.00014582153685064716,0.9741129132402373,13.525925925925925,subseasonal,JP-13,cases
135,352.40325449487216,352.40325449487216,0.0001456608290010554,0.9742585740692383,17.390476190476193,subseasonal,JP-13,cases
136,351.6596833132352,351.6596833132352,0.00014504678853968214,0.974403620857778,3.0518105849582176,high_frequency,JP-13,cases
137,351.50275682366987,351.50275682366987,0.00014491736452106017,0.974548538222299,3.0518105849582176,high_frequency,JP-13,cases
138,350.78560707110233,350.78560707110233,0.0001443266355344141,0.9746928648578335,8.53271028037383,subseasonal,JP-13,cases
139,349.1284028819505,349.1284028819505,0.0001429661821497623,0.9748358310399833,8.53271028037383,subseasonal,JP-13,cases
140,348.27877533462254,348.27877533462254,0.00014227119311197348,0.9749781022330952,12.59310344827586,subseasonal,JP-13,cases
141,348.270057198028,348.270057198028,0.0001422640705178981,0.9751203663036131,4.642372881355932,high_frequency,JP-13,cases
142,348.26205904305914,348.26205904305914,0.00014225753629542676,0.9752626238399085,4.642372881355932,high_frequency,JP-13,cases
143,347.6236384894914,347.6236384894914,0.00014173645230862336,0.9754043602922171,12.59310344827586,subseasonal,JP-13,cases
144,347.47093377514454,347.47093377514454,0.00014161195519048726,0.9755459722474076,2.0679501698754246,high_frequency,JP-13,cases
145,346.92293054127464,346.92293054127464,0.0001411656294313189,0.9756871378768389,13.525925925925925,subseasonal,JP-13,cases
146,346.75082699989804,346.75082699989804,0.0001410256036424234,0.9758281634804813,4.2041442824251725,high_frequency,JP-13,cases
147,346.41672094922654,346.41672094922654,0.00014075396877288502,0.9759689174492542,4.2041442824251725,high_frequency,JP-13,cases
148,346.0616831973137,346.0616831973137,0.00014046560299076273,0.9761093830522449,3.2091388400702985,high_frequency,JP-13,cases
149,345.61300723498476,345.61300723498476,0.00014010160612541755,0.9762494846583704,11.65531914893617,subseasonal,JP-13,cases
150,345.1982026632726,345.1982026632726,0.00013976550817285723,0.9763892501665432,11.65531914893617,subseasonal,JP-13,cases
151,345.14636174760074,345.14636174760074,0.00013972353212659104,0.9765289736986698,4.886708296164139,high_frequency,JP-13,cases
152,344.9748428772227,344.9748428772227,0.00013958469672023378,0.97666855839539,4.886708296164139,high_frequency,JP-13,cases
153,344.89327705640386,344.89327705640386,0.00013951869773727973,0.9768080770931273,4.886708296164139,high_frequency,JP-13,cases
154,344.81863029492195,344.81863029492195,0.00013945831098807803,0.9769475354041154,2.2017684887459805,high_frequency,JP-13,cases
155,344.62907082948965,344.62907082948965,0.00013930502242280252,0.9770868404265382,11.65531914893617,subseasonal,JP-13,cases
156,343.60586458109043,343.60586458109043,0.00013847905512300086,0.9772253194816611,31.66473988439306,seasonal_subannual,JP-13,cases
157,343.2976934500666,343.2976934500666,0.00013823077001334596,0.9773635502516744,2.751381215469613,high_frequency,JP-13,cases
158,343.08965542560173,343.08965542560173,0.00013806328538743963,0.9775016135370619,31.66473988439306,seasonal_subannual,JP-13,cases
159,342.4053432740606,342.4053432740606,0.00013751308423109147,0.9776391266212929,5.360078277886497,high_frequency,JP-13,cases
160,342.2589566198239,342.2589566198239,0.0001373955289553985,0.9777765221502484,5.360078277886497,high_frequency,JP-13,cases
161,341.5684456403654,341.5684456403654,0.0001368416944059259,0.9779133638446543,2.751381215469613,high_frequency,JP-13,cases
162,341.31288989176835,341.31288989176835,0.00013663700571256234,0.9780500008503669,2.418543046357616,high_frequency,JP-13,cases
163,340.7181171736733,340.7181171736733,0.00013616121263937918,0.9781861620630062,2.008064516129032,high_frequency,JP-13,cases
164,340.53041218372823,340.53041218372823,0.00013601122883960247,0.9783221732918458,3.531914893617021,high_frequency,JP-13,cases
165,340.35236403672053,340.35236403672053,0.00013586903762539485,0.9784580423294712,3.531914893617021,high_frequency,JP-13,cases
166,340.0740639059422,340.0740639059422,0.00013564693303216169,0.9785936892625033,8.936378466557912,subseasonal,JP-13,cases
167,340.03054653029403,340.03054653029403,0.00013561221929489142,0.9787293014817983,8.936378466557912,subseasonal,JP-13,cases
168,339.98044415966865,339.98044415966865,0.00013557225821981308,0.9788648737400181,8.936378466557912,subseasonal,JP-13,cases
169,339.33460622868375,339.33460622868375,0.00013505767248693474,0.978999931412505,12.282511210762332,subseasonal,JP-13,cases
170,338.98696894276844,338.98696894276844,0.00013478108983421287,0.9791347125023392,12.282511210762332,subseasonal,JP-13,cases
171,338.50171322283074,338.50171322283074,0.00013439549104276007,0.979269107993382,4.273010920436817,high_frequency,JP-13,cases
172,338.44108777810067,338.44108777810067,0.0001343473550572438,0.9794034553484392,4.273010920436817,high_frequency,JP-13,cases
173,337.8527940848527,337.8527940848527,0.00013388070362034356,0.9795373360520595,2.2160194174757284,high_frequency,JP-13,cases
174,337.6657479357071,337.6657479357071,0.00013373250334789387,0.9796710685554074,9.428571428571429,subseasonal,JP-13,cases
175,337.6110038097661,337.6110038097661,0.0001336891440460662,0.9798047576994535,2.2160194174757284,high_frequency,JP-13,cases
176,337.4971216062688,337.4971216062688,0.00013359896779982204,0.9799383566672534,9.428571428571429,subseasonal,JP-13,cases
177,336.5273142173016,336.5273142173016,0.0001328322702302989,0.9800711889374837,2.773670886075949,high_frequency,JP-13,cases
178,336.378609942406,336.378609942406,0.00013271490464695506,0.9802039038421306,2.773670886075949,high_frequency,JP-13,cases
179,336.05627655726374,336.05627655726374,0.0001324606795144536,0.9803363645216451,6.746305418719211,high_frequency,JP-13,cases
180,335.0515752303515,335.0515752303515,0.00013166983291402977,0.9804680343545591,3.9580924855491326,high_frequency,JP-13,cases
181,334.33073981209577,334.33073981209577,0.00013110388911207504,0.9805991382436712,3.9609544468546636,high_frequency,JP-13,cases
182,333.904872567021,333.904872567021,0.00013077010411561256,0.9807299083477868,15.344537815126051,subseasonal,JP-13,cases
183,333.75133663018175,333.75133663018175,0.0001306498705042531,0.9808605582182911,15.344537815126051,subseasonal,JP-13,cases
184,333.64854907479634,333.64854907479634,0.00013056940872692904,0.980991127627018,2.008064516129032,high_frequency,JP-13,cases
185,333.2550192096637,333.2550192096637,0.0001302615838644531,0.9811213892108824,2.3241408570216375,high_frequency,JP-13,cases
186,332.515722369644,332.515722369644,0.00012968427727901857,0.9812510734881614,11.225409836065573,subseasonal,JP-13,cases
187,332.4951651592268,332.4951651592268,0.00012966824276162465,0.981380741730923,11.225409836065573,subseasonal,JP-13,cases
188,331.9409210331453,331.9409210331453,0.00012923630888536232,0.9815099780398084,2.3241408570216375,high_frequency,JP-13,cases
189,331.91836594092865,331.91836594092865,0.00012921874649611618,0.9816391967863045,6.033039647577093,high_frequency,JP-13,cases
190,331.900739374629,331.900739374629,0.00012920502250517336,0.9817684018088096,6.033039647577093,high_frequency,JP-13,cases
191,331.7976490652404,331.7976490652404,0.00012912477130014104,0.9818975265801098,2.503656307129799,high_frequency,JP-13,cases
192,331.7033303683355,331.7033303683355,0.00012905137024270486,0.9820265779503524,4.054774241302739,high_frequency,JP-13,cases
193,331.41616386908885,331.41616386908885,0.00012882801892165365,0.9821554059692741,4.054774241302739,high_frequency,JP-13,cases
194,331.34364567903896,331.34364567903896,0.00012877164657979813,0.9822841776158538,4.054774241302739,high_frequency,JP-13,cases
195,331.19230069270264,331.19230069270264,0.000128654037611298,0.9824128316534652,4.054774241302739,high_frequency,JP-13,cases
196,331.0650281615583,331.0650281615583,0.00012855517674525846,0.9825413868302104,5.167924528301886,high_frequency,JP-13,cases
