prefecture_code,year,population
JP-15,2008,2389887.4
JP-15,2009,2373278.2
JP-15,2010,2363052.0
JP-15,2011,2360423.4
JP-15,2012,2340177.8
JP-15,2013,2325932.2
JP-15,2014,2313686.6
JP-15,2015,2292932.0
JP-15,2016,2279075.0
JP-15,2017,2257709.0
JP-15,2018,2238343.0
JP-15,2019,2219977.0
JP-15,2020,2172276.0
JP-16,1975,1070684.0
JP-16,1976,1078688.2
JP-16,1977,1085115.4
JP-16,1978,1092542.6
JP-16,1979,1096969.8
JP-16,1980,1103431.0
JP-16,1981,1105147.4
JP-16,1982,1111602.8
JP-16,1983,1111058.2
JP-16,1984,1115513.6
JP-16,1985,1118324.0
JP-16,1986,1119970.4
JP-16,1987,1122971.8
JP-16,1988,1123973.2
JP-16,1989,1122974.6
JP-16,1990,1118595.0
JP-16,1991,1122422.6
JP-16,1992,1118869.2
JP-16,1993,1118315.8
JP-16,1994,1119762.4
JP-16,1995,1122955.0
JP-16,1996,1123290.4
JP-16,1997,1126371.8
JP-16,1998,1125453.2
JP-16,1999,1127534.6
JP-16,2000,1120331.0
JP-16,2001,1117595.6
JP-16,2002,1119575.2
JP-16,2003,1116554.8
JP-16,2004,1116534.4
JP-16,2005,1110492.0
JP-16,2006,1110823.0
JP-16,2007,1103132.0
JP-16,2008,1098441.0
JP-16,2009,1090750.0
JP-16,2010,1088556.0
JP-16,2011,1086713.4
JP-16,2012,1082367.8
JP-16,2013,1077022.2
JP-16,2014,1068676.6
JP-16,2015,1056558.0
JP-16,2016,1054777.8
JP-16,2017,1050224.6
JP-16,2018,1049671.4
JP-16,2019,1041118.2
JP-16,2020,1015343.0
JP-17,1975,1069640.0
JP-17,1976,1080768.8
JP-17,1977,1090718.6
JP-17,1978,1100668.4
JP-17,1979,1111618.2
JP-17,1980,1118634.0
JP-17,1981,1125855.6
JP-17,1982,1130164.2
JP-17,1983,1140472.8
JP-17,1984,1141781.4
JP-17,1985,1152038.0
JP-17,1986,1153848.8
JP-17,1987,1157607.6
JP-17,1988,1159366.4
JP-17,1989,1163125.2
JP-17,1990,1162218.0
JP-17,1991,1164115.8
JP-17,1992,1170347.6
JP-17,1993,1167579.4
JP-17,1994,1175811.2
JP-17,1995,1179930.0
JP-17,1996,1185059.2
JP-17,1997,1184075.4
JP-17,1998,1185091.6
JP-17,1999,1187107.8
JP-17,2000,1176272.0
JP-17,2001,1183133.4
JP-17,2002,1181142.8
JP-17,2003,1182152.2
JP-17,2004,1178161.6
JP-17,2005,1172887.0
JP-17,2006,1169416.0
JP-17,2007,1169661.0
JP-17,2008,1165906.0
JP-17,2009,1166151.0
JP-17,2010,1160068.0
JP-17,2011,1165728.8
JP-17,2012,1163061.6
JP-17,2013,1159394.4
JP-17,2014,1153727.2
JP-17,2015,1137364.0
JP-17,2016,1147753.8
JP-17,2017,1145447.6
JP-17,2018,1138141.4
JP-17,2019,1135835.2
JP-17,2020,1111217.0
JP-18,1975,773493.0
JP-18,1976,781993.4
JP-18,1977,783641.8
JP-18,1978,788290.2
JP-18,1979,791938.6
JP-18,1980,794269.0
JP-18,1981,797296.4
JP-18,1982,801312.8
JP-18,1983,804329.2
JP-18,1984,809345.6
JP-18,1985,817595.0
JP-18,1986,821597.0
JP-18,1987,822832.0
JP-18,1988,822067.0
JP-18,1989,822302.0
JP-18,1990,823217.0
JP-18,1991,824046.8
JP-18,1992,822556.6
JP-18,1993,826066.4
JP-18,1994,827576.2
JP-18,1995,826875.0
JP-18,1996,829616.8
JP-18,1997,830147.6
JP-18,1998,828678.4
JP-18,1999,833209.2
JP-18,2000,828543.0
JP-18,2001,829923.2
JP-18,2002,827106.4
