prefecture_code,target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-17,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4361,0.009776898819983232,0.012247052110933462,0.9658187473992952,0.06719414717205663,0.2925473279255715
JP-18,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010118063905181562,0.012447740828514329,0.973006832559786,0.05325770379197248,0.2815203038909163
JP-19,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.013204016133454153,0.016669548337168934,0.9473886347698663,0.10245477470888886,0.34196868057946306
JP-20,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007768470162779391,0.009760412161399903,0.916163320700972,0.16064476980216802,0.4255356143354247
JP-21,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010281827986507753,0.012959863215226219,0.8630689820085843,0.255111932294666,0.5231325671822564
JP-22,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007291447675487098,0.00935002442333188,0.8445603466779071,0.2867178208192933,0.5456123951232504
JP-23,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.006617121130288357,0.008328064899179349,0.903351989558655,0.18395518296041957,0.4428085023830029
JP-24,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010432639636674885,0.013148514188099293,0.9109461240648263,0.17017715905126984,0.43307574501758567
JP-25,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007847819125503554,0.009574565562287234,0.9746360097646286,0.05008464847008265,0.2518021064758217
JP-26,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00818692844355589,0.010409457708838572,0.962805857301219,0.07300488114646464,0.2991381576528165
JP-27,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.005971164221179449,0.007862025574118607,0.9417213639357079,0.11316087270707009,0.3458585956141479
JP-28,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.006354554581004557,0.008309339285838777,0.9237683790768794,0.14665198181767503,0.387927854738539
JP-29,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.009512663576871505,0.012008413136391232,0.9480229357268566,0.10125251333583263,0.3442917264750236
JP-30,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4355,0.012709062745591007,0.01582875091035958,0.9364663633925793,0.12303075023427756,0.3563584575228818
