variable,component,mean_period_days,median_period_days,min_period_days,max_period_days,n_series
t2m,reconstruction_residual,2.4146727673632378,2.377249785093144,2.048,3.4133333333333336,46
t2m,seasonal_subannual,113.53829698230898,120.47058823529412,44.52173913043478,120.47058823529412,46
t2m,semiannual,186.1818181818182,186.1818181818182,186.1818181818182,186.1818181818182,46
t2m,subseasonal,17.634362151063527,14.628571428571428,8.325203252032521,29.257142857142856,46
t2m,trend,1024.0,1024.0,1024.0,1024.0,10
t2m_std_anom,annual,345.1259259259259,341.3333333333333,341.3333333333333,409.6,18
t2m_std_anom,high_frequency,6.6746758716162695,6.714754098360656,6.282208588957055,6.942372881355932,46
t2m_std_anom,interannual,334.7692307692308,341.3333333333333,204.8,682.6666666666666,26
t2m_std_anom,noise,2.5504778396734067,2.2555066079295156,2.1069958847736627,5.3194805194805195,46
t2m_std_anom,original,341.5453416149068,292.57142857142856,204.8,1024.0,46
t2m_std_anom,reconstructed_signal,341.5453416149068,292.57142857142856,204.8,1024.0,46
t2m_std_anom,reconstruction_residual,2.5504778396734067,2.2555066079295156,2.1069958847736627,5.3194805194805195,46
t2m_std_anom,seasonal_subannual,92.28281448446332,97.52380952380952,44.52173913043478,107.78947368421052,46
t2m_std_anom,semiannual,262.80961704961703,292.57142857142856,157.53846153846155,341.3333333333333,45
t2m_std_anom,subseasonal,22.419099762782125,23.54022988505747,14.628571428571428,29.257142857142856,46
t2m_std_anom,trend,384.0,292.57142857142856,292.57142857142856,1024.0,8
tp,annual,350.2376811594203,341.3333333333333,341.3333333333333,409.6,46
tp,high_frequency,5.27104200833085,5.11367972169229,3.6441281138790034,6.671009771986971,46
tp,original,330.23779019581116,341.3333333333333,70.62068965517241,409.6,46
tp,reconstructed_signal,330.23779019581116,341.3333333333333,70.62068965517241,409.6,46
tp,reconstruction_residual,183.35160678440144,89.21212121212122,2.0019550342130987,409.6,46
tp,seasonal_subannual,73.68531265572095,70.62068965517241,32.507936507936506,120.47058823529412,46
