component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
76,161.814825032075,161.814825032075,9.655113236607301e-05,0.9917917718690167,9.52695652173913,subseasonal,JP-13,ah
77,161.7179238264818,161.7179238264818,9.643552961119013e-05,0.9918882073986278,9.52695652173913,subseasonal,JP-13,ah
78,161.6035681828217,161.6035681828217,9.629919286258737e-05,0.9919845065914904,9.85251798561151,subseasonal,JP-13,ah
79,161.57294871179445,161.57294871179445,9.626270417565527e-05,0.992080769295666,9.85251798561151,subseasonal,JP-13,ah
80,161.0759726669028,161.0759726669028,9.567143337984491e-05,0.9921764407290459,9.627416520210895,subseasonal,JP-13,ah
81,159.75078786065427,159.75078786065427,9.410371593976688e-05,0.9922705444449856,10.375,subseasonal,JP-13,ah
82,158.12297800497998,158.12297800497998,9.219571266246514e-05,0.9923627401576481,7.973799126637553,subseasonal,JP-13,ah
83,157.8292598058638,157.8292598058638,9.185351814421826e-05,0.9924545936757924,7.973799126637553,subseasonal,JP-13,ah
84,156.64521912457698,156.64521912457698,9.048051103484929e-05,0.9925450741868272,13.974489795918366,subseasonal,JP-13,ah
85,156.48042445883092,156.48042445883092,9.029023567963212e-05,0.9926353644225069,13.974489795918366,subseasonal,JP-13,ah
86,155.78219760584608,155.78219760584608,8.948627037863408e-05,0.9927248506928855,13.974489795918366,subseasonal,JP-13,ah
87,153.9611466873857,153.9611466873857,8.740635901324869e-05,0.9928122570518988,8.079646017699115,subseasonal,JP-13,ah
88,153.75990122685803,153.75990122685803,8.717800741731786e-05,0.9928994350593161,8.079646017699115,subseasonal,JP-13,ah
89,152.68366983718343,152.68366983718343,8.596188603363536e-05,0.9929853969453497,6.3329479768786126,high_frequency,JP-13,ah
90,151.90821849516644,151.90821849516644,8.509093519649983e-05,0.9930704878805462,7.323529411764706,subseasonal,JP-13,ah
91,151.73559233629646,151.73559233629646,8.489765302505265e-05,0.9931553855335713,7.323529411764706,subseasonal,JP-13,ah
92,151.3760675107023,151.3760675107023,8.449581384154419e-05,0.9932398813474128,6.3329479768786126,high_frequency,JP-13,ah
93,148.7291202263344,148.7291202263344,8.156667774570604e-05,0.9933214480251585,6.399532710280374,high_frequency,JP-13,ah
94,145.92030951335295,145.92030951335295,7.851492858741044e-05,0.993399962953746,10.575289575289574,subseasonal,JP-13,ah
95,145.79437838115635,145.79437838115635,7.83794682477936e-05,0.9934783424219938,10.575289575289574,subseasonal,JP-13,ah
96,143.27751892927967,143.27751892927967,7.569668495751366e-05,0.9935540391069514,6.838951310861423,high_frequency,JP-13,ah
97,141.91713037694186,141.91713037694186,7.426606230438386e-05,0.9936283051692558,6.838951310861423,high_frequency,JP-13,ah
98,140.43509040459017,140.43509040459017,7.272304114758114e-05,0.9937010282104034,7.555862068965517,subseasonal,JP-13,ah
99,138.98063268622508,138.98063268622508,7.12244861128666e-05,0.9937722526965163,6.467532467532467,high_frequency,JP-13,ah
100,138.82079863791483,138.82079863791483,7.106075751818204e-05,0.9938433134540344,6.467532467532467,high_frequency,JP-13,ah
101,138.26394246235358,138.26394246235358,7.049180449931896e-05,0.9939138052585338,7.555862068965517,subseasonal,JP-13,ah
