target_variable,frequency_band,model_name,split,selected_alpha,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
incidence_per_100k,annual,ridge,train,0.01,200714,0.007291179925907571,0.009544486234275711,0.2573603795971514,0.9337656350136101,0.9663154945532398
incidence_per_100k,annual,ridge,validation,0.01,16790,0.009553742480285662,0.012218670058853255,0.27950909009594577,0.9218746685537365,0.9705185759666756
incidence_per_100k,annual,prefecture_mean_baseline,validation,,16790,0.03832651175245131,0.043715756350076775,1.0000230157137735,-4.603195726993192e-05,-0.0003085484557002563
incidence_per_100k,annual,ridge,test,0.01,33580,0.010566298082992946,0.013836554371899642,0.3096367453643099,0.9041250859201975,0.9631373392007898
incidence_per_100k,annual,prefecture_mean_baseline,test,,33580,0.03896111380572542,0.04470403104995912,1.00039434001617,-0.0007888355363885324,0.0015659503640272786
incidence_per_100k,semiannual,ridge,train,0.01,200255,0.0046289863894301226,0.006028227353945246,0.6029416855712958,0.6364613238004446,0.79778526170922
incidence_per_100k,semiannual,ridge,validation,0.01,16790,0.0064168684709343055,0.008037753681597575,0.5806979202395999,0.6627899254294034,0.8522527595109664
incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,16790,0.011513858167504306,0.013840912555341915,0.9999546457248131,9.070649336362369e-05,0.011247969165686319
incidence_per_100k,semiannual,ridge,test,0.01,33580,0.007925313142633283,0.010040457954346403,0.6404704740425443,0.5897975718797185,0.7823958325534077
incidence_per_100k,semiannual,prefecture_mean_baseline,test,,33580,0.012872495176554487,0.015672314035378446,0.9997207742140152,0.0005583736049299404,0.02750633681553894
incidence_per_100k,seasonal_subannual,ridge,train,1000.0,200308,0.009439049398591205,0.012269775446469776,0.9787897708895339,0.04197058440201373,0.20487202191617476
incidence_per_100k,seasonal_subannual,ridge,validation,1000.0,16790,0.011364950054824742,0.014673781091470819,1.0144783148723209,-0.02916625134618389,0.01820165945282135
incidence_per_100k,seasonal_subannual,prefecture_mean_baseline,validation,,16790,0.011149946782899258,0.014469363102008134,1.0003457871899888,-0.0006916939487584539,-0.0074298445400853355
incidence_per_100k,seasonal_subannual,ridge,test,1000.0,33580,0.01345752999092917,0.01764208472885761,0.9966425708773696,0.00670358591494713,0.09170473916178248
incidence_per_100k,seasonal_subannual,prefecture_mean_baseline,test,,33580,0.013465202893732996,0.017699781665593575,0.9999020055895396,0.00019597921801661755,0.017353573970994306
incidence_per_100k,subseasonal,ridge,train,1000.0,200749,0.016097292018351497,0.021206920771810585,0.999404710785833,0.0011902240590854207,0.03450081750671239
incidence_per_100k,subseasonal,ridge,validation,1000.0,16790,0.019175143160263208,0.025093357617031232,1.0001678402192915,-0.00033570860892262466,0.01390100178380139
incidence_per_100k,subseasonal,prefecture_mean_baseline,validation,,16790,0.019179134676394666,0.02509501472681127,1.0002338890890763,-0.0004678328822587119,-0.018552325543774464
incidence_per_100k,subseasonal,ridge,test,1000.0,33580,0.021631050109096585,0.028212284711323837,0.9999212457002622,0.00015750239723577586,0.01809244600728866
incidence_per_100k,subseasonal,prefecture_mean_baseline,test,,33580,0.021633318561265047,0.02821502265670806,1.0000182860423423,-3.657241906429576e-05,0.0018818268228716472
incidence_per_100k,high_frequency,ridge,train,1000.0,201053,0.0334152853697711,0.044766352073635815,0.9998384324799959,0.0003231089359443384,0.017976655148198854
incidence_per_100k,high_frequency,ridge,validation,1000.0,16790,0.040955208172522246,0.05440849056972905,1.0000807345275124,-0.0001614755730889872,0.003646298991529066
incidence_per_100k,high_frequency,prefecture_mean_baseline,validation,,16790,0.040955208205018544,0.0544061216703236,1.0000371918628912,-7.438510901702777e-05,-0.005875624208463096
incidence_per_100k,high_frequency,ridge,test,1000.0,33580,0.044913186478404366,0.059890563269060414,0.9999995146445795,9.707106054523962e-07,0.0077205113094588424
incidence_per_100k,high_frequency,prefecture_mean_baseline,test,,33580,0.044916002089973324,0.05989111852062217,1.0000087857427618,-1.7571562712870303e-05,-0.001003885086386708
