date,original,high_frequency,seasonal_subannual,subseasonal,trend,reconstructed_without_noise,residual
2014-03-12,0.0,-0.051750367065653495,0.025936461556493224,0.018509055574274208,0.014378888914886572,0.007074038980000509,-0.007074038980000509
2014-03-13,0.0,0.05305003421541543,0.025171240231782643,0.0024304619331187677,0.014339784722059648,0.09499152110237649,-0.09499152110237649
2014-03-14,0.0,0.057019688557701516,0.023337459360000173,-0.00691157435317781,0.014298530679118186,0.08774410424364205,-0.08774410424364205
2014-03-15,0.0,-0.051856765583210854,0.020814757475975762,-0.032494947563462426,0.014258413908033896,-0.04927854176266362,0.04927854176266362
2014-03-16,0.0,0.01792338700171801,0.0178728031585699,-0.046815437226870656,0.014219655201310653,0.003200408134727911,-0.003200408134727911
2014-03-17,0.0,-0.016210386885233873,0.014344460425041387,-0.028293784147554013,0.014179581697155086,-0.01598012891059141,0.01598012891059141
2014-03-18,0.0,-0.021042853757592114,0.010808415557216754,-0.015470394000803394,0.014139672087818425,-0.01156516011336033,0.01156516011336033
2014-03-19,0.0,-0.05571830709878914,0.006785454301655048,0.009004359594539912,0.014100658961355143,-0.025827834241239037,0.025827834241239037
2014-03-20,0.0,0.0790100830691499,0.0023950914518007455,0.03854830441035975,0.014061415941538112,0.1340148948728485,-0.1340148948728485
2014-03-21,0.0,-0.03250562112018174,-0.0024698008585108664,0.037547694851995043,0.014022926780285362,0.0165951996535878,-0.0165951996535878
2014-03-22,0.0,0.06866800404527584,-0.0075133724869004825,0.02823505515630685,0.013984158159336854,0.10337384487401907,-0.10337384487401907
2014-03-23,0.0,-0.03753732939945898,-0.01225853691107645,-0.003718687662979929,0.01394373269210262,-0.03957082128141274,0.03957082128141274
2014-03-24,0.0,-0.015397628764742008,-0.016567274907764502,-0.016803057892125765,0.013902704149697192,-0.03486525741493508,0.03486525741493508
2014-03-25,0.0,0.02559252341358071,-0.01972121807709446,-0.02123162359443713,0.013861864428062174,-0.0014984538298887067,0.0014984538298887067
2014-03-26,0.0,-0.03214318195639954,-0.021897006553015692,-0.03502795625638737,0.013819740380159639,-0.07524840438564297,0.07524840438564297
2014-03-27,0.0,-0.016169905435071054,-0.023048056883444135,-0.02889046419859372,0.013777688743379576,-0.054330737773729335,0.054330737773729335
2014-03-28,0.0,0.09402909725687604,-0.023589038741664355,-0.025408840612226032,0.013736914993152069,0.05876813289613771,-0.05876813289613771
2014-03-29,0.0,-0.028267712591971344,-0.023876458504752573,-0.02314130685112115,0.013695115768697207,-0.06159036217914786,0.06159036217914786
2014-03-30,0.0,-0.07934774289688869,-0.023421280505490215,-0.010937049830913611,0.013653910963170496,-0.10005216227012201,0.10005216227012201
2014-03-31,0.0,0.020777571826107677,-0.022365315300940658,-0.009117696218613254,0.013614199876287892,0.0029087601828416566,-0.0029087601828416566
2014-04-01,0.0,0.011519652757178686,-0.020188025503432343,0.0016789536820999299,0.013574468033709007,0.00658504896955528,-0.00658504896955528
2014-04-02,0.0,-0.034487138047937786,-0.017151021114461193,0.00021525980078173853,0.013533248988491151,-0.03788965037312608,0.03788965037312608
2014-04-03,0.0,-0.0209326201364168,-0.013065627216845592,0.004997382616869243,0.013492387633563764,-0.015508477102829385,0.015508477102829385
2014-04-04,0.0,0.141348746065939,-0.00831973438818041,0.027537951413057486,0.013450626472646785,0.17401758956346286,-0.17401758956346286
2014-04-05,0.0,-0.055180899588957374,-0.003674181216472651,0.022893939422689125,0.01340769569475454,-0.022553445687986357,0.022553445687986357
2014-04-06,0.0,-0.04152184052174392,0.0009840625807152749,0.021828954980366837,0.013365537524571452,-0.005343285436090358,0.005343285436090358
2014-04-07,0.0,-0.058461133368099535,0.0051784452582100664,0.019775675765910685,0.013322763399889866,-0.020184248944088913,0.020184248944088913
2014-04-08,0.0,0.056401214777998455,0.009302927200925489,0.02130624307824936,0.01330049582116742,0.10031088087834074,-0.10031088087834074
2014-04-09,0.0,0.07882886711736818,0.012956061531838864,0.027310183452447245,0.013277757816895162,0.13237286991854946,-0.13237286991854946
2014-04-10,0.0,-0.04595618203495896,0.01615188499295426,0.022619933215850544,0.013252569719226632,0.006068205893072477,-0.006068205893072477
2014-04-11,0.0,-0.006600983677205106,0.019150110896849273,0.0342082836619418,0.013226285390286741,0.05998369627187271,-0.05998369627187271
2014-04-12,0.0,0.05138836744101757,0.021611251825328102,0.04003922915814986,0.013200194517158205,0.12623904294165372,-0.12623904294165372
2014-04-13,0.0,0.013552111082775918,0.023659851784009426,0.02259146626937101,0.01319793268234597,0.07300136181850232,-0.07300136181850232
2014-04-14,0.0,-0.06999919981426199,0.02443834241103453,0.0089159765173773,0.013194085312568568,-0.023450795573281592,0.023450795573281592
2014-04-15,0.0,-0.05038605459269755,0.024162992290077213,-0.0172718519629455,0.013189958506509215,-0.03030495575905662,0.03030495575905662
2014-04-16,0.0,0.0989158927539252,0.02277076894003527,-0.0334463107894296,0.013187407363729033,0.10142775826825991,-0.10142775826825991
2014-04-17,0.0,-0.019334944166988076,0.020166163120930544,-0.05308054294692974,0.013182982562684532,-0.039066341430302735,0.039066341430302735
2014-04-18,0.0,0.013517430083522942,0.016996804533600054,-0.0696692286557204,0.013178320193912742,-0.02597667384468466,0.02597667384468466
2014-04-19,0.0,-0.03936070611612261,0.013506499797950038,-0.06891098809917111,0.013174800551929933,-0.08159039386541375,0.08159039386541375
2014-04-20,0.0,-0.04268326152097835,0.010228517318553666,-0.0682680472217556,0.013171475868770417,-0.08755131555540986,0.08755131555540986
2014-04-21,0.0,-0.03447211669400651,0.0066780106349920015,-0.0399862727660212,0.013198809109607046,-0.054581569715428664,0.054581569715428664
2014-04-22,0.0,0.015056370569724276,0.0027352555024203386,0.00854747744620678,0.01322717278801255,0.039566276306363946,-0.039566276306363946
2014-04-23,0.0,0.058105767353821565,-0.0016713816694219762,0.04393985417269269,0.013254720005175618,0.1136289598622679,-0.1136289598622679
2014-04-24,0.0,0.027448222543643323,-0.006512068096890119,0.06567894176044173,0.013282520874041474,0.0998976170812364,-0.0998976170812364
2014-04-25,0.0,-0.017504727367457718,-0.011215300093546933,0.049003212240017975,0.013309089088310641,0.03359227386732396,-0.03359227386732396
2014-04-26,0.0,-0.01973207329567836,-0.015670282980643976,0.017039855317828107,0.013334801224226948,-0.005027699734267281,0.005027699734267281
2014-04-27,0.0,0.008605466904527754,-0.019004210584959522,-0.014768125624489759,0.013359988719910084,-0.011806880585011443,0.011806880585011443
2014-04-28,0.0,-0.007597682832565626,-0.021239356021654256,-0.03730804031805008,0.013386270416700576,-0.05275880875556938,0.05275880875556938
2014-04-29,0.0,0.045352797150694506,-0.022601489091060765,-0.017165408334981765,0.01341240303983981,0.018998302764491784,-0.018998302764491784
2014-04-30,0.0,-0.005650685625130542,-0.023294284043818447,0.010823683475893374,0.013437036227412292,-0.004684249965643322,0.004684249965643322
2014-05-01,0.0,-0.04195588212410796,-0.023533633340346843,0.03543382369958044,0.013463160394541221,-0.016592531370333147,0.016592531370333147
2014-05-02,0.0,0.019959779534515554,-0.022949117665155342,0.05159045587094854,0.013489483860705993,0.06209060160101475,-0.06209060160101475
2014-05-03,0.0,-0.00017036023377014096,-0.022015923676772447,0.036088624607220884,0.013513999952559143,0.02741634064923744,-0.02741634064923744
2014-05-04,0.0,-0.003654497859604166,-0.02031435683885681,0.008269911178114776,0.013537643413058659,-0.002161300107287538,0.002161300107287538
2014-05-05,0.0,-0.02793765852222635,-0.017647779386956948,-0.027209285870349764,0.013562837408427493,-0.05923188637110556,0.05923188637110556
2014-05-06,0.0,0.01809182161000751,-0.014036206404963418,-0.04576311987832978,0.013587915056093532,-0.02811958961719216,0.02811958961719216
2014-05-07,0.0,0.028840799631618015,-0.009410446510864003,-0.0334453910137513,0.013613283668798968,-0.00040175422419831686,0.00040175422419831686
